"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
medi_immunosupp_otherl2,medication,,dropdown,"Select Immunosuppressive drugs (non-steroid)","1, Abatacept (Orencia)                                      | 2, Adalimumab (Humira)                                      | 3, Alemtuzumab (Campath, Lemtrada) | 4, Anakinra  | 5, Azathioprine (Imuran, Azasan)                            | 6, Basiliximab (Simulect)                                   | 7, Belatacept (Nulojix)                                     | 8, Ciclosporin  (Neoral, Sandimmune, Gengraf)                | 9, Etanercept (Enbrel)                                      | 10, Everolimus (Afinitor, Zortress)                          | 11, Infliximab (Avsola, Inflectra, Remicade)                       | 12, Leflunomide (Arava)                                      | 13, Mercaptopurine (Purixan) | 14, Methotrexate (Trexall, Rasuvo, Otrexup)                  | 15, Mycophenolate Mofetil (CellCept)                         | 16, Mycophenolic Acid (Myfortic)                         | 17, Natalizumab (Tysabri) | 18, Nivolumab (Opdivo) | 19, Rituximab (Rituxan, MabThera)                            | 20, Sarilumab (Kevzara)                                  | 21, Secukinumab (Cosentyx)                                   | 22, Sirolimus (Rapamune)                                     | 23, Tacrolimus (Prograf, Advagraf, Protopic)                  | 24, Thalidomide (Thalomid) | 25, Tocilizumab (Actemra)                                | 26, Ustekinumab (Stelara)                                    | 27, Vedolizumab (Entyvio)                                    | 88, Other",,autocomplete,,,,[medi_immunosupp]='88',,,,,,
medi_immunosupp_otherl3,medication,,text,"Specify other Immunosuppressive drugs (non-steroid)",,,,,,,[medi_immunosupp_otherl2]='88',,,,,,
medi_ivig,medication,,radio,"Type of intravenous immunoglobulin","1, Polyclonal immunoglobulin | 2, Specific immunoglobulin | 99, Unknown | 88, Other",,,,,,[medi_medtype]='15',,,,,,
medi_ivig_oth,medication,,text,"Specify other type of intravenous immunoglobulin",,,,,,,"[medi_ivig] = '88'",,,,,,
medi_route,medication,,radio,"Medication route","1, Oral | 2, Subcutaneous |3, Inhaled |4, IV | 5, Topical | 99, Unknown | 88, Other",,,,,,"[medi_medtype]='8' or [medi_medtype]='10' or [medi_medtype]='3'  or [medi_medtype]='1'  or [medi_medtype]='7' or [medi_medtype]='13' or  [medi_medtype_otherl2]='8' or [medi_medtype_otherl2]='10' or [medi_medtype_otherl2]='3'  or [medi_medtype_otherl2]='1'  or [medi_medtype_otherl2]='7' or [medi_medtype_otherl2]='13'",,,,,,
medi_route_oth,medication,,text,"Specify other route",,,,,,,[medi_route]='88',,,,,,
medi_medstartdate,medication,,text,"Date medication started / first dose",,,date_dmy,,today,,"[medi_treat]='1' or [medi_profx]='1'",,,,,,
medi_medtime,medication,,text,"Time medication started",,,time,,,,"[medi_treat]='1' or [medi_profx]='1'",,,,,,
medi_medongoing,medication,,radio,"Therapy ongoing?","1, Yes | 2, No | 99, Unknown",,,,,,"[medi_treat]='1' or [medi_profx]='1'",,RH,,,,
medi_medenddate,medication,,text,"Date medication stopped / last dose",,,date_dmy,,today,,"[medi_treat]='1' or [medi_profx]='1'",,,,,,
medi_numdays,medication,,text,"Total number of days treatment given",,,number,0,,,"[medi_treat]='1' or [medi_profx]='1'",,,,,,
medi_stopreason,medication,,radio,"Reasons for treatment stopping","1, Improvements | 2, Deterioration | 3, Death | 4, Other adverse events | 99, Unknown | 88, Other",,,,,,"[medi_medongoing] = '2'",,,,,,
medi_stopreason_oth,medication,,text,"Please specify other reason",,,,,,,"[medi_stopreason] = '88'",,,,,,
medi_frequency,medication,,text,Frequency,,,,,,,"[medi_treat]='1' or [medi_profx]='1'",,,,,,
medi_dose,medication,,text,Dose,,,number,0,,,"[medi_treat]='1' or [medi_profx]='1'",,,,,,
medi_units,medication,,dropdown,Units,"1, mg | 2, g | 3, µg | 4, IU | 5, mg/kg | 6, mg/day | 7, mL | 8, mL/h | 9, % | 10, tablets | 88, Other",,,,,,"[medi_treat]='1' or [medi_profx]='1'",,,,,,
medi_units_oth,medication,,text,"Units (other)",,,,,,,[medi_units]='88',,,,,,
medi_offlab,medication,,radio,"Was this an off-label or compassionate use of the medication?","1, Yes | 0, No | 99, Unknown",,,,,,,,RH,,,,
medi_offlab_spec1,medication,,text,"Specify the off-label or compassionate use medication",,,,,,,[medi_offlab]='1',,,,,,
compl_data,outcome,"COMPLICATIONS: Experienced at any time from day of presentation to day of discharge / outcome.",radio,"Were any complications reported from the day of presentation to the day of discharge/outcome?","1, Yes | 0, No",,,,,,,,RH,,,,
compl_strokecva,outcome,,radio,"Stroke / cerebrovascular accident","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_strokecva_date,outcome,,text,"Date of stroke / cerebrovascular accident onset",,,date_ymd,,,,[compl_strokecva]='1',,,,,,
compl_encephalopathy,outcome,,radio,Encephalopathy,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_encephalopathy_date,outcome,,text,"Date of encephalopathy onset",,,date_ymd,,,,[compl_encephalopathy]='1',,,,,,
compl_seizure,outcome,,radio,Seizure,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_seizure_date,outcome,,text,"Date of seizure onset",,,date_ymd,,,,[compl_seizure]='1',,,,,,
compl_encephalitis,outcome,,radio,Encephalitis,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_encephalitis_date,outcome,,text,"Date of encephalitis onset",,,date_ymd,,,,[compl_encephalitis]='1',,,,,,
compl_meningitis,outcome,,radio,Meningitis,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_meningitis_date,outcome,,text,"Date of meningitis onset",,,date_ymd,,,,[compl_meningitis]='1',,,,,,
compl_cardiacisc,outcome,,radio,"Cardiac ischaemia","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_cardiacisc_date,outcome,,text,"Date of cardiac ischaemia onset",,,date_ymd,,,,[compl_cardiacisc]='1',,,,,,
compl_endocardit,outcome,,radio,Endocarditis,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_endocardit_date,outcome,,text,"Date of endocarditis onset",,,date_ymd,,,,[compl_endocardit]='1',,,,,,
compl_cardiomyop,outcome,,radio,Cardiomyopathy,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_cardiomyop_date,outcome,,text,"Date of cardiomyopathy onset",,,date_ymd,,,,[compl_cardiomyop]='1',,,,,,
compl_chf,outcome,,radio,"Congestive heart failure","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_chf_date,outcome,,text,"Date of congestive heart failure onset",,,date_ymd,,,,[compl_chf]='1',,,,,,
compl_cardiarrhy,outcome,,radio,"Cardiac arrhythmia","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_cardiarrhy_date,outcome,,text,"Date of cardiac arrhythmia onset",,,date_ymd,,,,[compl_cardiarrhy]='1',,,,,,
compl_cardiarrest,outcome,,radio,"Cardiac arrest","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_cardiarrest_date,outcome,,text,"Date of cardiac arrest onset",,,date_ymd,,,,[compl_cardiarrest]='1',,,,,,
compl_myocarditis,outcome,,radio,Myocarditis,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_myocarditis_date,outcome,,text,"Date of myocarditis onset",,,date_ymd,,,,[compl_myocarditis]='1',,,,,,
compl_pericarditis,outcome,,radio,Pericarditis,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_pericarditis_date,outcome,,text,"Date of pericarditis onset",,,date_ymd,,,,[compl_pericarditis]='1',,,,,,
compl_pneum,outcome,,radio,"Pneumonia / pneumonitis","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_pneum_date,outcome,,text,"Date of pneumonia / pneumonitis onset",,,date_ymd,,,,[compl_pneum]='1',,,,,,
compl_pneum_type,outcome,,radio,"Etiology of pneumonia","1, Viral | 2, Bacterial | 3, Fungal",,,,,,[compl_pneum]='1',,,,,,
compl_pneumothor,outcome,,radio,Pneumothorax,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_pneumothor_date,outcome,,text,"Date of pneumothorax onset",,,date_ymd,,,,[compl_pneumothor]='1',,,,,,
compl_pleuraleff,outcome,,radio,"Pleural effusion","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_pleuraleff_date,outcome,,text,"Date of pleural effusion onset",,,date_ymd,,,,[compl_pleuraleff]='1',,,,,,
compl_copneumoni,outcome,,radio,"Cryptogenic organising pneumonia (COP)","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_copneumoni_date,outcome,,text,"Date of cryptogenic organising pneumonia (COP) onset",,,date_ymd,,,,[compl_copneumoni]='1',,,,,,
compl_bronchioli,outcome,,radio,Bronchiolitis,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_bronchioli_date,outcome,,text,"Date of bronchiolitis onset",,,date_ymd,,,,[compl_bronchioli]='1',,,,,,
compl_ards,outcome,,radio,"Acute Respiratory Distress Syndrome (ARDS)","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_ards_date,outcome,,text,"Date of acute respiratory distress syndrome (ARDS) onset",,,date_ymd,,,,[compl_ards]='1',,,,,,
compl_ascite,outcome,,radio,Ascites,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_ascite_date,outcome,,text,"Date of ascites onset",,,date_ymd,,,,[compl_ascite]='1',,,,,,
compl_pancreatit,outcome,,radio,Pancreatitis,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_pancreatit_date,outcome,,text,"Date of pancreatitis onset",,,date_ymd,,,,[compl_pancreatit]='1',,,,,,
compl_jaundice,outcome,,radio,Jaundice,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_jaundice_date,outcome,,text,"Date of jaundice onset",,,date_ymd,,,,[compl_jaundice]='1',,,,,,
compl_liverdysfu,outcome,,radio,"Liver dysfunction","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_liverdysfu_date,outcome,,text,"Date of liver dysfunction onset",,,date_ymd,,,,[compl_liverdysfu]='1',,,,,,
compl_thrombemb,outcome,,radio,Thromboembolism,"1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_thrombemb_date,outcome,,text,"Date of thromboembolism onset",,,date_ymd,,,,[compl_thrombemb]='1',,,,,,
compl_thrombemb_pe,outcome,,radio,"Pulmonary embolism (PE)","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_thrombemb_pe_date,outcome,,text,"Date of pulmonary embolism (PE) onset",,,date_ymd,,,,[compl_thrombemb_pe]='1',,,,,,
compl_thrombemb_dvt,outcome,,radio,"Deep vein thrombosis (DVT)","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_thrombemb_dvt_date,outcome,,text,"Date of deep vein thrombosis (DVT) onset",,,date_ymd,,,,[compl_thrombemb_dvt]='1',,,,,,
compl_unlisted,outcome,,radio,"Other complication(s)","1, Yes | 0, No | 99, Unknown",,,,,,[compl_data]='1',,RH,,,,
compl_unlisted_0item,outcome,,dropdown," Select other complication(s)","8, Acquired coagulation disorder | 1, Acute Respiratory Distress Syndrome (ARDS) | 9, Acute renal failure syndrome | 2, Bacteremia | 10, Bleeding | 11, Cardiac Arrest | 12, Cardioembolic stroke | 13, Cardiogenic Shock | 14, Cerebellar stroke | 15, Decompensation | 16, Deep venous thrombosis | 17, Disseminated Intravascular Coagulation (DIC) | 18, Empyema | 19, Encephalitis | 20, Haemorrhagic stroke | 21, Hospital acquired pneumonia | 22, Ischemic encephalopathy | 23, Ischemic stroke | 24, Large liver | 25, Meningitis | 26, Multisystem inflammatory syndrome in adults | 27, Multisystem inflammatory syndrome in children | 3, Myocardial Infarction | 4, Neurological finding | 5, Pneumonia | 28, Pneumothorax | 6, Pulmonary Embolism | 29, Recurrent gastrointestinal bleeding | 30, Recurrent urinary tract infection | 31, Sepsis | 7, Septic Shock | 32, Thrombotic stroke | 33, Transient cerebral ischemia | 34, Transient hypotension | 35, Ventilator-Associated Pneumonia | 88, Other",,,,,,[compl_unlisted]='1',,,,,,
compl_unlisted_0otherl2,outcome,,text," Specify other complication(s)",,,,,,,[compl_unlisted_0item]='88',,,,,,
compl_unlisted_date,outcome,,text,"Date of onset",,,date_ymd,,,,[compl_unlisted]='1',,,,,,
compl_unlisted_0addi,outcome,,radio," Any additional other complication(s) ?","1, Yes | 0, No | 99, Unknown",,,,,,[compl_unlisted]='1',,RH,,,,
compl_unlisted_1item,outcome,,dropdown,"> Select additional other complication(s) 2","8, Acquired coagulation disorder | 1, Acute Respiratory Distress Syndrome (ARDS) | 9, Acute renal failure syndrome | 2, Bacteremia | 10, Bleeding | 11, Cardiac Arrest | 12, Cardioembolic stroke | 13, Cardiogenic Shock | 14, Cerebellar stroke | 15, Decompensation | 16, Deep venous thrombosis | 17, Disseminated Intravascular Coagulation (DIC) | 18, Empyema | 19, Encephalitis | 20, Haemorrhagic stroke | 21, Hospital acquired pneumonia | 22, Ischemic encephalopathy | 23, Ischemic stroke | 24, Large liver | 25, Meningitis | 26, Multisystem inflammatory syndrome in adults | 27, Multisystem inflammatory syndrome in children | 3, Myocardial Infarction | 4, Neurological finding | 5, Pneumonia | 28, Pneumothorax | 6, Pulmonary Embolism | 29, Recurrent gastrointestinal bleeding | 30, Recurrent urinary tract infection | 31, Sepsis | 7, Septic Shock | 32, Thrombotic stroke | 33, Transient cerebral ischemia | 34, Transient hypotension | 35, Ventilator-Associated Pneumonia | 88, Other",,,,,,[compl_unlisted_0addi]='1',,,,,,
compl_unlisted_1otherl2,outcome,,text,"> Specify other complication(s) 2",,,,,,,[compl_unlisted_1item]='88',,,,,,
compl_unlisted_0addi_date,outcome,,text,"Date of onset",,,date_ymd,,,,[compl_unlisted_0addi]='1',,,,,,
compl_unlisted_1addi,outcome,,radio,"> Any additional other complication(s) ?","1, Yes | 0, No | 99, Unknown",,,,,,[compl_unlisted_0addi]='1',,RH,,,,
compl_unlisted_2item,outcome,,dropdown,"-> Select additional other complication(s) 3","8, Acquired coagulation disorder | 1, Acute Respiratory Distress Syndrome (ARDS) | 9, Acute renal failure syndrome | 2, Bacteremia | 10, Bleeding | 11, Cardiac Arrest | 12, Cardioembolic stroke | 13, Cardiogenic Shock | 14, Cerebellar stroke | 15, Decompensation | 16, Deep venous thrombosis | 17, Disseminated Intravascular Coagulation (DIC) | 18, Empyema | 19, Encephalitis | 20, Haemorrhagic stroke | 21, Hospital acquired pneumonia | 22, Ischemic encephalopathy | 23, Ischemic stroke | 24, Large liver | 25, Meningitis | 26, Multisystem inflammatory syndrome in adults | 27, Multisystem inflammatory syndrome in children | 3, Myocardial Infarction | 4, Neurological finding | 5, Pneumonia | 28, Pneumothorax | 6, Pulmonary Embolism | 29, Recurrent gastrointestinal bleeding | 30, Recurrent urinary tract infection | 31, Sepsis | 7, Septic Shock | 32, Thrombotic stroke | 33, Transient cerebral ischemia | 34, Transient hypotension | 35, Ventilator-Associated Pneumonia | 88, Other",,,,,,[compl_unlisted_1addi]='1',,,,,,
compl_unlisted_2otherl2,outcome,,text,"-> Specify other complication(s) 3",,,,,,,[compl_unlisted_2item]='88',,,,,,
compl_unlisted_1addi_date,outcome,,text,"Date of onset",,,date_ymd,,,,[compl_unlisted_1addi]='1',,,,,,
compl_unlisted_2addi,outcome,,radio,"-> Any additional other complication(s) ?","1, Yes | 0, No | 99, Unknown",,,,,,[compl_unlisted_1addi]='1',,RH,,,,
compl_unlisted_3item,outcome,,dropdown,">-> Select additional other complication(s) 4","8, Acquired coagulation disorder | 1, Acute Respiratory Distress Syndrome (ARDS) | 9, Acute renal failure syndrome | 2, Bacteremia | 10, Bleeding | 11, Cardiac Arrest | 12, Cardioembolic stroke | 13, Cardiogenic Shock | 14, Cerebellar stroke | 15, Decompensation | 16, Deep venous thrombosis | 17, Disseminated Intravascular Coagulation (DIC) | 18, Empyema | 19, Encephalitis | 20, Haemorrhagic stroke | 21, Hospital acquired pneumonia | 22, Ischemic encephalopathy | 23, Ischemic stroke | 24, Large liver | 25, Meningitis | 26, Multisystem inflammatory syndrome in adults | 27, Multisystem inflammatory syndrome in children | 3, Myocardial Infarction | 4, Neurological finding | 5, Pneumonia | 28, Pneumothorax | 6, Pulmonary Embolism | 29, Recurrent gastrointestinal bleeding | 30, Recurrent urinary tract infection | 31, Sepsis | 7, Septic Shock | 32, Thrombotic stroke | 33, Transient cerebral ischemia | 34, Transient hypotension | 35, Ventilator-Associated Pneumonia | 88, Other",,,,,,[compl_unlisted_2addi]='1',,,,,,
compl_unlisted_3otherl2,outcome,,text,">-> Specify other complication(s) 4",,,,,,,[compl_unlisted_3item]='88',,,,,,
compl_unlisted_2addi_date,outcome,,text,"Date of onset",,,date_ymd,,,,[compl_unlisted_2addi]='1',,,,,,
compl_unlisted_3addi,outcome,,radio,">-> Any additional other complication(s) ?","1, Yes | 0, No | 99, Unknown",,,,,,[compl_unlisted_2addi]='1',,RH,,,,
compl_unlisted_4item,outcome,,dropdown,"->-> Select additional other complication(s) 5","8, Acquired coagulation disorder | 1, Acute Respiratory Distress Syndrome (ARDS) | 9, Acute renal failure syndrome | 2, Bacteremia | 10, Bleeding | 11, Cardiac Arrest | 12, Cardioembolic stroke | 13, Cardiogenic Shock | 14, Cerebellar stroke | 15, Decompensation | 16, Deep venous thrombosis | 17, Disseminated Intravascular Coagulation (DIC) | 18, Empyema | 19, Encephalitis | 20, Haemorrhagic stroke | 21, Hospital acquired pneumonia | 22, Ischemic encephalopathy | 23, Ischemic stroke | 24, Large liver | 25, Meningitis | 26, Multisystem inflammatory syndrome in adults | 27, Multisystem inflammatory syndrome in children | 3, Myocardial Infarction | 4, Neurological finding | 5, Pneumonia | 28, Pneumothorax | 6, Pulmonary Embolism | 29, Recurrent gastrointestinal bleeding | 30, Recurrent urinary tract infection | 31, Sepsis | 7, Septic Shock | 32, Thrombotic stroke | 33, Transient cerebral ischemia | 34, Transient hypotension | 35, Ventilator-Associated Pneumonia | 88, Other",,,,,,[compl_unlisted_3addi]='1',,,,,,
compl_unlisted_4otherl2,outcome,,text,"->-> Specify other complication(s) 5",,,,,,,[compl_unlisted_4item]='88',,,,,,
compl_unlisted_3addi_date,outcome,,text,"Date of onset",,,date_ymd,,,,[compl_unlisted_3addi]='1',,,,,,
diagn_primary,outcome,DIAGNOSIS,radio,"Primary diagnosis","2, Andes virus infection (hantavirus) | 88, Other",,,,,,,,,,,,
diagn_primary_otherl2,outcome,,dropdown,"Select Primary diagnosis","1, Adenovirus | 3, Argentine haemorrhagic fever (Junin virus) | 4, Avian influenza A H7N9/ H5N1/ H5N8/ H7N7  | 5, Bacterial infection | 6, Bolivian haemorrhagic fever (Machupo virus) | 7, COVID-19 (SARS-CoV-2)  | 8, Chickenpox (Varicella) | 47, Chikungunya | 43, Community acquired pneumonia | 9, Crimean Congo haemorrhagic fever (CCHF) | 10, Dengue  | 11, Ebola virus disease (EVD) | 12, Enterovirus | 13, Exposure to CBRN agent | 14, Exposure to Harmful Energy | 15, HSV  | 16, Hepatitis | 17, Herpes simplex virus infection (HSV) | 44, Hospital acquired pneumonia | 18, Human immunodeficiency virus infection (HIV infection) | 19, Influenza A H1N1 | 20, Influenza A H5N1 | 21, Influenza A H5N8 | 22, Influenza A H7N7 | 23, Influenza A H7N9 | 24, Influenza A virus | 25, Influenza B virus | 45, Influenza like Illness | 26, Influenza virus | 27, JE  | 28, Lassa fever | 29, Lujo virus disease | 30, Marburg virus disease (MVD) | 31, Measles | 32, Middle East respiratory syndrome (MERS) | 33, Mpox  | 34, Nipah  | 35, Oropouche | 36, Pneumonic plague (Yersinia pestis) | 37, Respiratory syncytial virus infection (RSV) | 42, Rift Valley Fever | 38, Severe Acute paediatric hepatitis  | 39, Severe acute respiratory syndrome (SARS-not COVID-19) | 40, Severe fever with thrombocytopaenia syndrome (SFTS) | 41, Undefined influenza | 46, Viral ARI | 48, Zika | 88, Other",,,,,,[diagn_primary]='88',,,,,,
diagn_primary_otherl3,outcome,,text,"Specify other Primary diagnosis",,,,,,,[diagn_primary_otherl2]='88',,,,,,
diagn_primary_type,outcome,,checkbox,"Type of diagnosis","1, Clinical diagnosis | 2, Lab-confirmed | 3, Radiologically confirmed (e.g., chest X-ray, CT) | 99, Unknown |88, Other",,,,,,,,,,,,
diagn_additional,outcome,,radio,"Any additional diagnosis?","1, Yes | 0, No",,,,,,,,RH,,,,
diagn_additional_list,outcome,,notes,"Specify other diagnoses",,,,,,,[diagn_additional]='1',,,,,,
outco_hospitalized,outcome,"SEVERITY ASSESMENT",radio,"Hospitalized during observation period?","1, Yes | 0, No | 99, Unknown",,,,,,,,,,,,
severity_header,outcome,,descriptive,"Severity assessment",,,,,,,,,,,,,
outco_whoord,outcome,,radio,"Highest WHO Ordinal Scale during hospitalization/observation period","0, Uninfected | 1, Ambulatory - no limitation of activities | 2, Ambulatory - limitation of activities | 3, Hospitalized - no oxygen therapy | 4, Hospitalized - oxygen by mask or nasal prongs | 5, Hospitalized - non-invasive ventilation or high-flow oxygen | 6, Intubation and mechanical ventilation | 7, Ventilation and additional organ support (vasopressors/RRT/ECMO) | 8, Death",,,,,,,,,,,,
outco_whoord_date,outcome,,text,"Date of WHO Ordinal Scale assessment",,,date_ymd,,,,,,,,,,
outco_whoord_day,outcome,,text,"Day of illness at highest WHO Ordinal Scale",,,integer,,,,,,,,,,
crito_icu,outcome,"ORGAN SUPPORT",radio,"ICU admission","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_hospitalized] = '1'",,,,,,
inter_hfno,outcome,,radio,"High-flow nasal cannula (HFNC)","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_hospitalized] = '1'",,,,,,
inter_nivent,outcome,,radio,"Non-invasive ventilation","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_hospitalized] = '1'",,,,,,
inter_invent,outcome,,radio,"Mechanical ventilation","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_hospitalized] = '1'",,,,,,
crito_inotropesv,outcome,,radio,"Vasopressor/inotropic support","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_hospitalized] = '1'",,,,,,
crito_rtt,outcome,,radio,"Renal replacement therapy (RRT)","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_hospitalized] = '1'",,,,,,
inter_ecmo,outcome,,radio,"ECMO support","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_hospitalized] = '1'",,,,,,
outco_date,outcome,OUTCOME,text,"Outcome date",,,date_dmy,,today,,,,,,,,
outco_outcome,outcome,,radio,Outcome,"7, Alive, never hospitalised | 1, Discharged alive | 4, Death | 6, Discharged against medical advice | 5, Palliative care | 2, Still hospitalised | 3, Transfer to other facility | 88, Other",,,,,,,,,,,,
outco_outcome_otherl2,outcome,,dropdown,"Select Outcome","7, Alive, never hospitalised | 4, Death | 6, Discharged against medical advice | 1, Discharged alive | 8, Hospitalised | 5, Palliative care | 2, Still hospitalised | 3, Transfer to other facility | 88, Other",,,,,,[outco_outcome]='88',,,,,,
outco_outcome_otherl3,outcome,,text,"Specify other Outcome",,,,,,,[outco_outcome_otherl2]='88',,,,,,
outco_selfcare,outcome,,radio,"Ability to self-care at discharge versus before illness","1, Same as before illness | 2, Worse | 3, Better | 99, Unknown",,,,,,"[outco_outcome] = '1'",,,,,,
outco_oxyth,outcome,,radio,"If discharged alive: Oxygen therapy post-discharge treatment","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_outcome] = '1'",,RH,,,,
outco_carerel,outcome,,radio,"If discharged alive or still hospitalised: Ongoing health care needs relating to this admission for pathogen of interest","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_outcome] = '1' or [outco_outcome]='2'",,RH,,,,
outco_carenonrel,outcome,,radio,"If discharged alive or still hospitalised: Ongoing health care needs NOT related to pathogen episode","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_outcome] = '1' or [outco_outcome]='2'",,RH,,,,
outco_carefordif,outcome,,radio,"If Still hospitalised or transfer to other facility:  Medically fit for discharge (pathogen resolved) but remains in hospital for other reason (e.g. awaiting alternate care, resident in long term health care or mental health facility)","1, Yes | 0, No | 99, Unknown",,,,,,"[outco_outcome]='2' or [outco_outcome]='3'",,RH,,,,
outco_transfersite,outcome,,radio,"If transfer to other facility: is the transfer facility a study site?","1, Yes | 0, No | 99, Unknown",,,,,,[outco_outcome]='3',,RH,,,,
outco_transfersite_pin,outcome,,text,"What is the Participant Identification Number at the new facility?",,,,,,,[outco_transfersite]='1',,,,,,
